Area,Perim.,BX,BY,Width,Height,handaxe_number
16.264,16.232,2.052,3.883,3.839,5.733,3837
12.886,14.626,1.619,3.76,3.406,5.172,3891
11.295,13.585,1.786,3.927,3.174,4.769,3911
5.847,9.887,1.816,2.052,2.224,3.612,3946
10.846,13.434,1.836,3.76,3.049,4.783,4018
8.2,11.645,1.403,3.553,2.778,4.094,4193
13.779,15.44,1.486,3.233,3.268,5.591,4478
6.471,10.402,2.003,4.483,2.392,3.72,4533
4.79,8.889,1.964,4.592,1.993,3.076,4552
16.51,16.342,1.663,4.05,3.735,5.994,4577
13.644,15.168,1.742,4.001,3.376,5.32,4892
9.9,12.58,1.747,4.252,2.977,4.473,5042
9.701,12.899,1.634,3.597,2.736,4.483,5058
6.02,10.468,1.796,4.252,2.234,3.711,5069
8.317,11.603,1.737,4.144,2.603,4.237,5102
11.831,14.085,1.604,3.853,3.219,5.089,5357
9.441,12.202,1.708,3.971,2.879,4.365,5403
8.201,11.704,1.599,4.119,2.771,4.178,5414
2.993,7.077,0.477,0.61,1.772,2.52,5561
16.122,16.205,1.732,3.775,3.588,5.965,5667
15.195,15.855,1.698,4.218,3.465,5.468,5811
12.328,13.987,1.767,4.04,3.42,4.946,6108
14.389,15.552,2.116,3.046,3.538,5.615,6110
10.691,12.813,1.467,3.834,3.248,4.237,6135
12.57,14.225,1.535,3.883,3.312,5.025,6207
7.758,11.1,1.609,4.493,2.606,3.784,6291
16.438,16.554,1.54,3.401,3.784,5.758,6310
14.267,15.184,1.555,3.253,3.386,5.453,6386
11.03,12.961,1.786,4.114,3.396,4.375,6389
6.485,10.247,1.964,4.557,2.5,3.573,6399
4.316,8.194,1.944,4.882,2.126,2.677,6559
11.921,14.19,1.457,3.302,2.948,5.281,6706
16.911,16.769,1.565,3.376,3.957,5.812,6717
10.333,13.253,1.363,3.583,2.992,4.764,6718
17.77,17.016,1.211,3.214,3.907,6.058,6856
13.981,15.34,1.314,3.366,3.351,5.556,6877
11.3,13.912,2.83,4.439,3.179,5.022,7097
6.054,10.252,1.718,4.22,2.224,3.61,7162
4.959,9.422,0.482,0.426,2.037,3.524,7222
16.754,16.58,1.629,3.863,3.824,5.802,7383
13.358,14.475,1.56,4.06,3.543,5.064,7413
9.683,12.659,1.462,3.455,2.938,4.523,7474
10.05,12.727,1.137,3.046,2.869,4.656,7673
2.855,6.651,0.556,0.733,1.713,2.219,7690
19.546,18.54,1.57,3.105,3.73,6.978,7698
14.949,15.821,1.363,2.84,3.622,5.492,8079
6.754,10.278,1.373,3.351,2.544,3.435,8347
8.076,11.202,1.329,3.179,2.731,3.967,8423
5.889,10.018,1.476,3.824,2.5,3.504,9480
6.184,10.233,1.474,3.287,2.212,3.839,9868
13.679,14.794,1.535,3.73,3.297,5.034,9879
19.563,18.101,1.358,3.044,3.991,6.602,10075
22.187,19.406,1.722,3.676,4.759,6.186,31541
