"individual","width_0.1","width_0.2","width_0.3","width_0.4","width_0.5","width_0.6","width_0.7","width_0.8","width_0.9","thickness_0.1","thickness_0.2","thickness_0.3","thickness_0.4","thickness_0.5","thickness_0.6","thickness_0.7","thickness_0.8","thickness_0.9"
"Iovita (1)",21.17852,25.6413,29.43606,32.81934,34.61512,34.00044,32.79394,27.89682,20.66544,7.27964,10.91946,12.35964,14.95298,14.66342,14.71676,14.24432,11.96594,6.59892
"Iovita (10)",33.33242,36.28136,45.69206,48.20412,49.12868,49.48682,48.00092,43.3324,33.18002,10.91946,14.92504,16.75892,18.32864,17.7546,17.17802,13.61694,11.20648,7.69874
"Iovita (100)",14.51356,21.6662,26.9748,31.28264,33.61436,33.58896,32.97428,30.15488,22.76856,5.62864,8.37946,9.95172,11.31316,11.70432,11.62558,9.7409,7.33298,4.55676
"Iovita (101)",8.51408,12.1539,15.82166,17.18056,19.33448,19.89836,19.10334,17.4371,13.89634,3.87604,5.81406,6.65226,6.70306,6.49478,5.65658,5.08,4.34594,2.513838
"Iovita (102)",16.81988,28.87218,34.97326,38.40988,40.05072,40.92194,40.97528,37.9476,30.15488,6.7818,8.77316,10.9982,12.56792,13.5128,12.7254,10.86612,7.43712,4.92252
"Iovita (103)",23.69312,28.92298,33.63976,37.53866,38.66642,37.719,35.74288,32.76854,25.38476,7.38378,9.95172,12.56792,12.88288,12.09802,11.36396,9.7409,6.91388,4.60756
"Iovita (104)",21.6408,31.79572,38.05174,39.94912,41.38422,42.23004,39.0779,31.64078,26.36012,10.21334,13.19784,16.28648,17.15262,18.1737,16.15694,13.30198,11.36396,8.22198
"Iovita (105)",14.66596,20.2057,24.51354,27.84602,31.0261,34.15284,34.35858,34.05124,28.87218,7.01802,9.21766,10.68324,11.62558,11.20648,9.63676,8.0645,6.70306,4.53136
"Iovita (106)",24.97328,36.10356,43.94962,48.00092,51.89728,50.66792,49.59096,47.2821,36.97478,14.76756,19.19478,20.05838,20.11172,19.71802,16.5481,13.61694,12.7254,8.37946
"Iovita (107)",29.53766,38.25748,44.40936,47.94758,51.99888,52.7939,50.76952,42.92346,32.05226,11.25982,15.92072,18.6436,19.0627,18.53946,13.77442,10.29208,7.75208,4.08432
"Iovita (108)",18.8976,28.3083,33.7439,36.4109,37.9222,37.719,35.38474,28.51404,22.76856,7.33298,10.29208,13.06576,15.29334,15.71244,14.03604,10.5537,8.27532,5.1054
"Iovita (109)",13.02512,18.8722,23.46198,27.43708,30.35808,29.7434,29.12872,26.30678,20.56384,5.34162,7.75208,8.69442,9.3218,9.95172,10.16,9.47928,7.12216,3.71856
"Iovita (11)",17.28216,25.12822,29.591,34.46272,36.3601,37.7444,36.92398,31.79572,24.97328,6.62432,10.05586,12.6746,15.50162,14.76756,13.82522,11.70432,8.74522,5.02666
"Iovita (110)",18.76806,34.05124,41.66616,47.79518,54.77002,57.23128,56.10352,49.64176,32.92348,9.21766,13.0937,14.48054,13.64234,12.15136,11.28522,10.78738,10.47496,5.28828
"Iovita (111)",16.3068,21.7424,25.6921,28.51404,31.2039,30.87116,29.07792,26.51252,20.97532,4.08432,7.27964,9.21766,9.7409,10.05586,9.63676,8.11784,5.39496,3.45694
"Iovita (112)",15.00124,22.35962,27.92222,34.30778,34.10204,32.3088,28.3083,23.0759,16.51254,6.49478,11.62558,13.77442,17.3355,16.70558,15.86738,13.22324,9.79424,6.23316
"Iovita (113)",31.28264,40.71874,44.20616,44.82084,45.38472,48.20412,46.56328,40.10152,33.38576,14.0081,20.47748,22.62378,20.11172,20.66036,20.68576,19.16684,14.24432,10.73658
"Iovita (114)",18.56486,27.23134,33.53816,37.846,40.513,42.94886,41.69156,39.66718,32.4104,7.2009,9.37514,11.20648,12.04468,13.19784,12.20216,8.74522,6.3881,3.50774
"Iovita (115)",9.17956,12.1031,14.30782,15.38478,16.2052,17.05102,17.30756,15.99946,13.84554,6.3881,9.63676,9.95172,9.37514,8.66648,6.86054,5.4737,4.76504,2.513838
"Iovita (116)",33.02508,48.25746,50.46218,53.20538,53.76926,50.46218,48.35906,41.64076,29.17952,9.84504,15.81658,18.48612,20.00504,20.79244,17.8054,13.19784,8.27532,4.50342
