Label,BX,BY,Width,Height
Iovita (1),0,0,1.387,1.934
Iovita (2),0,0,1.155,2.003
Iovita (3),0,0,1.472,2.225
Iovita (4),0,0,1.581,2.51
Iovita (5),0,0,1.31,1.89
Iovita (6),0,0,1.724,2.671
Iovita (7),0,0,2.063,3.43
Iovita (8),0,0,1.641,2.629
Iovita (9),0,0,1.603,2.273
Iovita (10),0,0,1.986,2.966
Iovita (11),0,0,1.506,2.395
Iovita (12),0,0,1.149,1.405
Iovita (13),0,0,1.06,1.637
Iovita (14),0,0,2.033,2.98
Iovita (15),0,0,1.331,2.154
Iovita (16),0,0,1.197,1.462
Iovita (17),0,0,1.266,2.322
Iovita (18),0,0,1.668,2.344
Iovita (19),0,0,1.25,1.472
Iovita (20),0,0,1.664,2.655
Iovita (21),0,0,1.795,2.469
Iovita (22),0,0,2.021,2.932
Iovita (23),0,0,1.486,2.023
Iovita (24),0,0,1.141,1.692
Iovita (25),0,0,1.555,1.962
Iovita (26),0,0,1.981,2.978
Iovita (27),0,0,1.302,1.987
Iovita (28),0,0,1.07,1.51
Iovita (29),0,0,1.185,1.547
Iovita (30),0,0,1.769,2.869
Iovita (31),0,0,0.969,1.44
Iovita (32),0,0,1.635,2.683
Iovita (33),0,0,1.883,3.053
Iovita (34),0,0,1.69,2.241
Iovita (35),0,0,1.345,1.946
Iovita (36),0,0,1.096,1.728
Iovita (37),0,0,1.631,2.176
Iovita (38),0,0,1.51,2.108
Iovita (39),0,0,1.799,2.736
Iovita (40),0,0,1.916,3.002
Iovita (41),0,0,1.742,2.748
Iovita (42),0,0,1.446,2.166
Iovita (43),0,0,1.888,2.94
Iovita (44),0,0,1.246,1.767
Iovita (45),0,0,1.308,1.718
Iovita (46),0,0,1.565,2.431
Iovita (47),0,0,1.476,1.946
Iovita (48),0,0,1.684,2.524
Iovita (49),0,0,1.752,2.617
Iovita (50),0,0,1.977,2.982
Iovita (51),0,0,1.924,2.986
Iovita (52),0,0,1.347,2.257
Iovita (53),0,0,1.335,2.059
Iovita (54),0,0,1.266,1.954
Iovita (55),0,0,1.373,2.071
Iovita (56),0,0,1.452,2.267
Iovita (57),0,0,1.633,2.229
Iovita (58),0,0,1.71,3.037
Iovita (59),0,0,1.401,2.09
Iovita (60),0,0,1.355,2.059
Iovita (61),0,0,1.518,2.473
Iovita (62),0,0,1.147,1.373
Iovita (63),0,0,1.369,2.092
Iovita (64),0,0,1.141,1.688
Iovita (65),0,0,1.597,2.51
Iovita (66),0,0,1.26,2.061
Iovita (67),0,0,1.356,2.368
Iovita (68),0,0,1.633,2.663
Iovita (69),0,0,1.601,2.687
Iovita (70),0,0,1.742,3.339
Iovita (71),0,0,1.797,2.392
Iovita (72),0,0,1.276,1.908
Iovita (73),0,0,1.718,2.661
Iovita (74),0,0,1.581,2.285
Iovita (75),0,0,1.397,2.243
Iovita (76),0,0,1.407,1.981
Iovita (77),0,0,1.003,1.407
Iovita (78),0,0,1.868,3.142
Iovita (79),0,0,1.458,2.32
Iovita (80),0,0,1.639,2.338
Iovita (81),0,0,1.516,2.421
Iovita (82),0,0,0.834,0.723
Iovita (83),0,0,1.672,2.461
Iovita (84),0,0,1.872,2.778
Iovita (85),0,0,1.125,1.801
Iovita (86),0,0,1.583,2.122
Iovita (87),0,0,1.936,3.382
Iovita (88),0,0,1.868,2.956
Iovita (89),0,0,1.75,2.691
Iovita (90),0,0,1.254,1.797
