Core.Number,Starting_Weight
1,1283
2,623
3,1122
4,1404
5,1110
6,692
7,1068
8,927
9,732
10,2050
11,2183
12,2585
13,1869
14,1977
15,1660
16,1452
17,2403
18,1167
19,1116
20,1253
21,1629
22,1105
23,1241
24,1332
25,1059
26,898
27,975
28,1325
29,966
30,1526
31,1697
32,807
33,888
34,744
35,821
36,1686
37,1725
38,990
39,555
40,620
41,1210
42,607
43,1526
44,1284
45,1051
46,722
47,2310
48,1075
49,1221
50,1097
51,993
52,2299
53,2384
54,835
55,2331
56,1685
57,2993
58,2690
59,1417
60,981
62,1142
63,1623
64,1900
65,1241
66,2312
67,1386
68,1802
70,1882
71,2287
72,997
73,1892
74,2341
75,1137
76,1526
77,1308
78,2321
79,861
80,1867
81,1692
82,1095
83,2457
84,1213
85,1049
86,2171
87,1290
88,1916
89,1472
90,1919
91,2202
92,1307
93,1458
94,1097
95,1421
96,930
97,1723
98,1710
99,1092
100,996
101,1251
102,977
103,1621
104,1986
105,1344
106,1170
107,2594
108,953
109,1697
110,1790
111,1069
112,2129
113,1016
114,1670
115,2056
116,1884
118,995
119,3064
120,1078
121,1991
122,2028
123,1574
124,1277
125,1723
126,1564
127,1545
128,1566
129,2241
130,1528
131,2004
132,1500
133,1717
134,1955
135,1613
136,3321
137,1610
138,2396
139,1512
140,1211
141,1563
142,1293
143,1800
144,1695
145,1424
146,2478
147,1640
149,904
150,1048
