Label,Area,Perim.,BX,BY,Width,Height
2,189.814,7132,0,0,11.875,15.984
4,233.035,8308,0,0,14.824,15.721
5,333.673,8108,0,0,16,20.855
7,165.718,5688,0,0,11.745,14.109
8,169.4,6292,0,0,11.55,14.667
10,229.431,7360,0,0,12.95,17.717
11,266.428,7856,0,0,15.167,17.567
13,224.125,7652,0,0,12.128,18.48
14,227.948,7596,0,0,13.504,16.88
17,235.024,7820,0,0,12.544,18.736
34,116.499,5520,0,0,8.72,13.36
43,185.783,6608,0,0,11.833,15.7
44,157.946,6368,0,0,10.672,14.8
63,219.24,7164,0,0,13.05,16.8
82,215.158,6256,0,0,12.305,17.486
86,274.936,7296,0,0,16.436,16.727
93,192.533,5828,0,0,13.752,14
105,219.943,6664,0,0,12.073,18.218
113,162.458,5620,0,0,13.6,11.945
114,257.276,7216,0,0,12.982,19.818
115,196.245,6328,0,0,11.127,17.636
124,240.143,6892,0,0,13.382,17.945
125,279.124,7364,0,0,15.745,17.727
129,260.791,7168,0,0,14.145,18.436
132,268.329,7564,0,0,15.009,17.878
143,280.798,4446,0,0,13.692,20.508
144,201.6,3132,0,0,13.2,15.273
146,326.421,3980,0,0,17.164,19.018
147,264.103,3576,0,0,15.927,16.582
150,222.563,3028,0,0,12.56,17.72
