Label,Area,Perim.,BX,BY,Width,Height
Core2planD.tif,189.814,7132,0,0,11.875,15.984
Core4PlanD.tif,233.035,8308,0,0,14.824,15.721
Core5planD.tif,333.673,8108,0,0,16,20.855
Core7planD.tif,165.718,5688,0,0,11.745,14.109
Core8planD.tif,169.4,6292,0,0,11.55,14.667
Core10planD.tif,229.431,7360,0,0,12.95,17.717
Core11planD.tif,266.428,7856,0,0,15.167,17.567
Core13planD.tif,224.125,7652,0,0,12.128,18.48
Core14planD.tif,227.948,7596,0,0,13.504,16.88
Core17planD.tif,235.024,7820,0,0,12.544,18.736
Core34planD.tif,116.499,5520,0,0,8.72,13.36
Core43planD.tif,185.783,6608,0,0,11.833,15.7
Core44planD.tif,157.946,6368,0,0,10.672,14.8
Core63planD.tif,219.24,7164,0,0,13.05,16.8
Core82planD.tif,215.158,6256,0,0,12.305,17.486
Core86planD.tif,274.936,7296,0,0,16.436,16.727
Core93planD.tif,192.533,5828,0,0,13.752,14
Core105planD.tif,219.943,6664,0,0,12.073,18.218
Core113planD.tif,162.458,5620,0,0,13.6,11.945
Core114planD.tif,257.276,7216,0,0,12.982,19.818
Core115planD.tif,196.245,6328,0,0,11.127,17.636
Core124planD.tif,240.143,6892,0,0,13.382,17.945
Core125planD.tif,279.124,7364,0,0,15.745,17.727
Core129planD.tif,260.791,7168,0,0,14.145,18.436
Core132planD.tif,268.329,7564,0,0,15.009,17.878
Core143planD.tif,280.798,4446,0,0,13.692,20.508
Core144planD.tif,201.6,3132,0,0,13.2,15.273
Core146planD.tif,326.421,3980,0,0,17.164,19.018
Core147planD.tif,264.103,3576,0,0,15.927,16.582
Core150planD.tif,222.563,3028,0,0,12.56,17.72
