"Knapper","Assessment","End_Weight","Core.Number","Start_Weight","delta_Weight","Assessment_stage"
"1",2,1235,1,1283,48,"Early training"
"1",1,507,13,1869,1362,"Pre-training"
"1",5,266,49,1221,955,"Early training"
"1",6,239,60,981,742,"Late training"
"1",7,335,64,1900,1565,"Late training"
"1",9,373,66,2312,1939,"Late training"
"1",8,665,70,1882,1217,"Late training"
"2",1,645,8,927,282,"Pre-training"
"2",4,89,19,1116,1027,"Early training"
"2",2,210,27,975,765,"Early training"
"2",3,181,33,888,707,"Early training"
"2",5,91,45,1051,960,"Early training"
"2",6,117,52,2299,2182,"Late training"
"2",7,146,56,1685,1539,"Late training"
"2",8,58,62,1142,1084,"Late training"
"2",9,99,73,1892,1793,"Late training"
"3",1,271,2,623,352,"Pre-training"
"3",3,149,15,1660,1511,"Early training"
"3",2,279,18,1167,888,"Early training"
"3",4,80,32,807,727,"Early training"
"3",5,140,37,1725,1585,"Early training"
"3",7,207,41,1210,1003,"Late training"
"5",5,87,3,1122,1035,"Early training"
"5",1,1691,10,2050,359,"Pre-training"
"5",2,260,22,1105,845,"Early training"
"5",3,184,29,966,782,"Early training"
"5",4,55,40,620,565,"Early training"
"5",8,99,54,835,736,"Late training"
"5",9,757,68,1802,1045,"Late training"
"6",1,148,4,1404,1256,"Pre-training"
"6",2,166,26,898,732,"Early training"
"6",3,41,35,821,780,"Early training"
"6",5,100,48,1075,975,"Early training"
"6",6,600,57,2993,2393,"Late training"
"7",1,307,7,1068,761,"Pre-training"
"7",3,272,12,2585,2313,"Early training"
"7",2,271,20,1253,982,"Early training"
"7",4,42,24,1332,1290,"Early training"
"7",5,69,30,1526,1457,"Early training"
"7",9,120,46,722,602,"Late training"
"7",8,155,53,2384,2229,"Late training"
"8",1,159,5,1110,951,"Pre-training"
"8",2,135,6,692,557,"Early training"
"8",5,111,50,1097,986,"Early training"
"9",1,755,14,1977,1222,"Pre-training"
"9",7,314,16,1452,1138,"Late training"
"9",2,137,25,1059,922,"Early training"
"9",3,94,36,1686,1592,"Early training"
"9",5,132,38,990,858,"Early training"
"9",6,278,51,993,715,"Late training"
"9",9,249,55,2331,2082,"Late training"
"9",8,387,59,1417,1030,"Late training"
"10",1,424,11,2183,1759,"Pre-training"
"10",5,91,21,1629,1538,"Early training"
"10",2,382,23,1241,859,"Early training"
"10",3,504,28,1325,821,"Early training"
"10",4,185,31,1697,1512,"Early training"
"10",9,305,47,2310,2005,"Late training"
"11",1,341,17,2403,2062,"Pre-training"
"11",2,284,67,1386,1102,"Early training"
"11",3,280,72,997,717,"Early training"
"11",6,264,80,1867,1603,"Late training"
"11",4,279,81,1692,1413,"Early training"
"11",5,170,87,1290,1120,"Early training"
"11",7,200,128,1566,1366,"Late training"
"11",8,284,133,1717,1433,"Late training"
"11",9,155,140,1211,1056,"Late training"
"13",1,147,34,744,597,"Pre-training"
"13",2,1024,58,2690,1666,"Early training"
"13",3,266,102,977,711,"Early training"
"13",4,490,122,2028,1538,"Early training"
"13",5,302,127,1545,1243,"Early training"
"14",1,36,44,1284,1248,"Pre-training"
"14",2,230,65,1241,1011,"Early training"
"14",4,280,79,861,581,"Early training"
"14",5,230,85,1049,819,"Early training"
"14",6,479,96,930,451,"Late training"
"14",7,146,98,1710,1564,"Late training"
"14",8,331,120,1078,747,"Late training"
"14",9,159,139,1512,1353,"Late training"
"15",2,324,39,555,231,"Early training"
"15",1,1526,63,1623,97,"Pre-training"
"15",3,432,76,1526,1094,"Early training"
"15",4,304,78,2321,2017,"Early training"
"15",5,320,89,1472,1152,"Early training"
"16",4,72,74,2341,2269,"Early training"
"16",1,644,93,1458,814,"Pre-training"
"16",2,223,99,1092,869,"Early training"
"16",3,41,110,1790,1749,"Early training"
"16",5,93,123,1574,1481,"Early training"
"16",8,79,135,1613,1534,"Late training"
