"individual","assessment","group","width_0.1","width_0.2","width_0.3","width_0.4","width_0.5","width_0.6","width_0.7","width_0.8","width_0.9","thickness_0.1","thickness_0.2","thickness_0.3","thickness_0.4","thickness_0.5","thickness_0.6","thickness_0.7","thickness_0.8","thickness_0.9","max_length","PC1","PC2","pc1","pc2","assessment_stage"
"Iovita (1)","11","boxgrove",1.11272705769379,1.34720312394086,1.54658117913329,1.72433992713619,1.81869085419178,1.78639534592098,1.72300540200103,1.46570895594279,1.08576964996363,0.382474903735958,0.573712355603937,0.649379930767331,0.785634947066847,0.770421360526059,0.773223863309888,0.74840169579597,0.628694791172399,0.346709630113754,2.58097161139338,0.545030095683081,-0.428815473376148,1.04780169235947,0.844072090549764,"Boxgrove"
"Iovita (2)","11","boxgrove",0.508178875038718,1.0600571185478,1.34989356596429,1.48392555123734,1.6585686103892,1.77237226608763,1.6117809473273,1.43713788817543,1.08800618460128,0.442552614968388,0.663828922452583,0.751382074122881,0.90903951302125,0.891436233849444,0.894678943170566,0.865957803469198,0.727447791038408,0.401169467441686,3.09292703343225,0.746215236989459,0.387681932514624,4.31342739585638,-0.304758085710824,"Boxgrove"
"Iovita (3)","11","boxgrove",1.12005091442945,1.47399631774188,1.72562081692335,1.88601944977121,1.95793173179095,1.90273049435484,1.70904674811499,1.49892590884206,0.998416425984626,0.336138552526584,0.610090103077998,0.785145143880351,0.834593398754881,0.785145143880351,0.72871112446676,0.624198607931396,0.437774577781159,0.305045051538999,3.04771099988448,0.0687381051520741,-0.377195933247005,-0.506117518463927,1.82994832437536,"Boxgrove"
"Iovita (4)","11","boxgrove",1.19002796723502,1.73767659376065,1.92117296966083,2.05311424923612,2.21374459067816,2.21218231503195,2.17497174964042,1.94986203152758,1.37068384196028,0.333900913112488,0.486151776088492,0.632579611655899,0.714528070552499,0.626614559188556,0.550489127700554,0.462717641395357,0.374804130031414,0.275244563850277,3.56482897453145,-0.976441799301211,-0.200821742280974,-4.6708125811438,-0.316906289493248,"Boxgrove"
"Iovita (5)","11","boxgrove",0.954114494456591,1.21418604136616,1.35978648846624,1.54557209297781,1.70263379976215,1.75979860115032,1.84554580323258,1.61985803537581,1.10990272794268,0.51052129556568,0.619898502182163,0.676921806537199,0.711871573722544,0.770168351375831,0.781912605126372,0.717672952081244,0.59075011335552,0.396757680921887,2.67429392632798,0.59658816309935,-0.125794030617799,1.82847152016264,0.146258115969358,"Boxgrove"
"Iovita (6)","11","boxgrove",1.29559401928714,1.42925448114844,1.58517497491761,1.67220969426915,1.67622051082913,1.66809860729517,1.65596588720124,1.47788563193818,1.09725914039619,0.361775653710086,0.566427568683003,0.665695278542478,0.777396519737887,0.777396519737887,0.776293545183892,0.688456662520357,0.599516805302828,0.383534333547971,2.67822275792583,0.535492758671793,-0.430118444626133,1.06343186906541,1.25766122475946,"Boxgrove"
"Iovita (7)","11","boxgrove",1.12457284443219,1.40375481932741,1.68087749619917,1.85709456992124,1.93828974913207,2.01840624842585,1.95613699866875,1.77001568207194,1.39385057645266,0.41548789168636,0.63485216209051,0.748113553380986,0.804695218120903,0.775374736739213,0.689472590617605,0.529729901083246,0.368025975336065,0.193083705152335,3.36352010498988,-0.380680472138355,-0.0425274423800454,-1.53352467385393,0.980414974833642,"Boxgrove"
"Iovita (8)","11","boxgrove",1.4515600255446,1.67223309837045,1.80218366959976,1.87578184358571,1.95302349153135,1.90274355088749,1.82671639426174,1.65753775339966,1.36083752394806,0.365561887289931,0.505835634738393,0.656068211010035,0.769987496816665,0.731245223711852,0.658618642781825,0.570932369485038,0.450697728814928,0.215329311018288,3.19289768001737,-0.323891047180061,-0.39354198317627,-2.28300117986222,1.05619342245785,"Boxgrove"
"Iovita (9)","11","boxgrove",1.38346284059778,1.67940497840151,1.89482952555954,2.07239480824177,2.10745462006267,2.10065594932934,1.96748198731766,1.66874039685903,1.10351757510777,0.285810785338374,0.417784981926522,0.566155972636229,0.674801397100209,0.6678694190976,0.6706688717525,0.610147371498945,0.522297881042793,0.346332285591929,3.03007423075618,-0.380191634812815,-0.592535393353717,-3.26410872436363,-0.17462680759008,"Boxgrove"
"Iovita (10)","11","boxgrove",1.29819850369028,1.41305093551108,1.77956967788497,1.87740693462121,1.9134157935211,1.92736428007298,1.86949289969815,1.68766794734102,1.29226297749799,0.425280451677551,0.58128586509823,0.652710030278782,0.713845950059365,0.691488801401741,0.669032727307578,0.530339265281078,0.436459026006363,0.299842998147164,2.93412844772184,-0.111046661115978,-0.425171495680462,-1.76583346193584,1.01422828058124,"Boxgrove"
"Iovita (11)","11","boxgrove",0.923250869243305,1.34240459280188,1.58081608269908,1.84107404378206,1.94243624238946,2.01638858273891,1.9725599479997,1.69859705778773,1.33412735837745,0.353885694736411,0.537206083382458,0.677104914392136,0.828130519546134,0.788915425305788,0.738573556921122,0.62527042996372,0.467188821693813,0.268535195507422,3.24983220434703,-0.168962832823422,0.0418230375752963,-0.529177855806496,-0.267283074388511,"Boxgrove"
"Iovita (12)","11","boxgrove",1.22246008267481,1.66339186674168,1.91995516715382,2.08064685606552,2.19611974845979,2.17651846756597,2.06492701693285,1.81418587916243,1.38315177158651,0.308186475835467,0.472177390244138,0.598130175393519,0.632286862891656,0.656157729722741,0.644319332351228,0.556210604373078,0.440155495714634,0.32002487320698,2.72671283720926,-0.413679558514096,-0.706525142424082,-3.7073887392554,0.296430081298596,"Boxgrove"
"Iovita (13)","11","boxgrove",0.965145717849317,1.35446968352885,1.61651087720502,1.92242233078343,2.0654433126172,2.06131203253672,1.95822675814759,1.81127122385623,1.46955534291366,0.403685082149775,0.600412705029783,0.649004427881145,0.685595765736826,0.721990375969627,0.720023099740827,0.602379981258583,0.405652358378575,0.25141790204065,3.22043118654572,-0.339402833320632,-0.0336403457486976,-1.6314004406896,-0.294203086110371,"Boxgrove"
"Iovita (14)","11","boxgrove",1.31250957884114,1.51044591573098,1.59064502054846,1.65839029961785,1.73691122933452,1.77612753169021,1.71906957826279,1.59779934597821,1.29996742808774,0.48260782898977,0.662879164818489,0.702978717227229,0.706600042444759,0.697502566898282,0.571816084348421,0.590011035441373,0.458936727567871,0.384302098084643,2.63208515810673,0.313045196963756,-0.526025885956905,-0.409070614593483,2.05726768290978,"Boxgrove"
"Iovita (15)","11","boxgrove",0.891891514713463,1.20185895815119,1.52903884638879,1.76370184382707,1.88677082414617,1.86353402366634,1.86496839406633,1.83599411198654,1.42189137750958,0.570735982155817,0.709726473914798,0.727512666874668,0.768965971434364,0.801526179514125,0.718619570394733,0.597415271595621,0.408078378797009,0.205545278318494,3.08963384157735,-0.00344072570881159,0.0349806914253284,0.0937898989745161,0.866091975457635,"Boxgrove"
"Iovita (16)","11","boxgrove",0.793584336874984,1.459193945058,1.69399055472425,1.91468526591206,2.01075444929652,2.02150714688634,2.00722897467691,1.73682507135256,1.21717011242154,0.407016044834371,0.595981484445651,0.614313952467641,0.646924592699065,0.661555312370461,0.681474243971277,0.667019798030862,0.574299815535028,0.359774684931551,2.57712194693742,0.11416839047044,-0.457296844368761,-1.11561538637282,0.00789158479153931,"Boxgrove"
"Iovita (17)","11","boxgrove",1.00438275419945,1.27510412699428,1.49365187006792,1.78876401093675,1.92089413202635,2.03008723943047,1.95013074806207,1.61754404962259,1.08272396291394,0.346316600997687,0.522866995069735,0.719446894050232,0.825894020942712,0.859330371878589,0.802633950726449,0.722677459358047,0.496214831280268,0.219839969196759,3.75068632237234,-0.274286090874722,0.364814824420384,0.000704331407165066,-0.989755961103066,"Boxgrove"
"Iovita (18)","11","boxgrove",1.05040684201282,1.45785607649981,1.64473221737025,1.83160835824069,1.95504041958179,2.04477552817678,1.98491097842634,1.77433588177841,1.34442201212734,0.41362083755405,0.586672587554282,0.732939580243493,0.758366584879761,0.707512575607225,0.661719280849675,0.580254120364544,0.428802981099006,0.251924837197199,2.89324751783555,-0.121614386572237,-0.313357685150452,-1.39422807773787,0.959729211282493,"Boxgrove"
"Iovita (19)","11","boxgrove",0.853386301922608,1.35097400127065,1.61552219503061,1.80145465196567,1.87383104459812,1.92421374895216,1.87695071669434,1.68493489917163,1.4235063775079,0.601472780152363,0.770247040558186,0.924670809321371,0.849018760987892,0.733278926217909,0.632045566695377,0.543602862767371,0.36188196316221,0.241150653038266,2.2960786628223,0.360651632266252,-0.612981974982685,0.0180667448443086,3.67488192536089,"Boxgrove"
"Iovita (20)","11","boxgrove",0.78957419493438,1.24762435916954,1.60240874977133,1.88370573958204,1.96358334913755,2.07720126096932,2.09522164968505,1.88881790659359,1.49914297613795,0.471725210991064,0.679918212536565,0.77206502291981,0.843251948555687,0.762863122299014,0.658830523613908,0.532304390077969,0.34788296513619,0.210749085051277,3.39320085391838,-0.417420681090407,0.18745016699402,-1.12623940653709,0.490810704194831,"Boxgrove"
"Iovita (21)","11","boxgrove",0.930851528652213,1.42321277777509,1.72459901306863,1.97441956800801,2.07488164643919,2.13117923628469,2.07973488694312,1.90586754589011,1.55061034100303,0.426478509282133,0.647907607273568,0.71051440977416,0.71051440977416,0.690494792695483,0.687946841430924,0.570377090223417,0.357683825139041,0.201409480912757,2.99566270104577,-0.39899848872373,-0.233789999670074,-2.27236331014809,0.669463565220186,"Boxgrove"
"Iovita (22)","11","boxgrove",1.07314367947617,1.37856773886197,1.64466588469402,1.82573794819972,2.00897077618639,2.13548353654746,2.12457167591854,1.99697853331697,1.69706442335766,0.472235077317058,0.657088478664458,0.709487017328098,0.659357281369481,0.610307927651352,0.612576730356375,0.472235077317058,0.338591794168762,0.265125801815617,3.16768072910916,-0.528390911423733,-0.0621438869658765,-2.63554804047497,0.320604307593381,"Boxgrove"
"Iovita (23)","11","boxgrove",0.81499054160449,1.33532721896228,1.70222937651517,1.90377977000647,2.07225981068544,2.18055776786813,2.1956032887422,1.81961423244358,1.18204166471059,0.374648366319739,0.588116004067725,0.706394653315388,0.755553285874241,0.774025014472112,0.741699489425837,0.608077388197684,0.448386315158018,0.239536609559499,3.01357314141086,-0.244984549538395,-0.170528698587781,-1.43356800131484,-0.0414518896834922,"Boxgrove"
"Iovita (24)","11","boxgrove",0.819873089457838,1.25320695584345,1.66314350057237,1.88570810575303,2.03402005377524,2.16666933192808,2.16280200603442,1.97543006648615,1.56549352175723,0.350766458555783,0.518221669751652,0.582032546997192,0.681809555053853,0.731698059082184,0.739626077164205,0.665760152595127,0.47046019496484,0.263171527064179,3.27175770604401,-0.447518647045285,0.170344184599576,-1.53526350571869,-1.817146350688,"Boxgrove"
"Iovita (25)","11","boxgrove",0.97700111743722,1.43575988540063,1.8108406263404,1.96202249305562,2.04837393947297,2.03219975214093,1.87032420785081,1.58413466175243,1.0875470093678,0.424405328754026,0.562220098500609,0.694554358490053,0.748290088303948,0.785450617876742,0.716610068488293,0.672498648491812,0.551259078986331,0.220423429012721,2.62262442524535,0.124669312023083,-0.603209297632776,-1.04175469083378,1.12700925362585,"Boxgrove"
"Iovita (26)","11","boxgrove",1.06519461241715,1.50047347396968,1.72342118354536,1.90422437659231,2.01135509418063,2.0763412952402,2.08824470830557,1.89875524085957,1.46358361726259,0.437745334530034,0.606966828378244,0.698655280368244,0.747341312185156,0.756242062495296,0.681068255659051,0.52181989167642,0.375869034181227,0.175763009136385,3.19354631609613,-0.46809680498574,-0.165567220372217,-2.27662691395784,0.628746985897205,"Boxgrove"
"Iovita (27)","11","boxgrove",0.990300544969233,1.52077086731668,1.85204280418181,2.0716632090161,2.14950123359532,2.1021288444428,2.05140858326537,1.80132254300438,1.39924311281234,0.317545661562988,0.490128464447247,0.655848129680435,0.733351367057169,0.721299027767482,0.635091323125975,0.572988297063841,0.462508520241716,0.245064232223624,3.32611085675096,-0.583148403304393,-0.16308520324382,-2.85071592146296,-0.357047108001605,"Boxgrove"
"Iovita (28)","11","boxgrove",0.895840738241157,1.46099658303409,1.69769096581396,1.88951245962959,2.11185560314612,2.08133395344522,2.03646106448097,1.95884309438065,1.60794518788547,0.408504993679011,0.506335976826286,0.691891436597356,0.766881715001568,0.683401971117634,0.620943760802535,0.525134078959956,0.460452437209692,0.245790238651003,3.05216497009059,-0.401287047231903,-0.137484174291566,-2.06686215446864,-0.0219998509989839,"Boxgrove"
