group,width_0.1,width_0.2,width_0.3,width_0.4,width_0.5,width_0.6,width_0.7,width_0.8,width_0.9,thickness_0.1,thickness_0.2,thickness_0.3,thickness_0.4,thickness_0.5,thickness_0.6,thickness_0.7,thickness_0.8,thickness_0.9,length
nodule,38.594,81.562,103.125,106.875,108.516,107.5,105.469,101.25,85.781,10.068,21.088,29.252,29.252,30.408,29.796,30.748,29.252,25.034,159.84
nodule,39.412,67.647,96.397,116.176,126.765,138.971,139.706,125.294,82.059,38.839,43.742,49.484,54.387,56.387,54.194,47.677,39.613,25.806,157.21
nodule,62.727,99.091,133.636,152.727,150.636,131.273,121.091,114,49.455,13.284,17.612,18.657,29.701,45.224,52.09,50.597,30.746,18.657,208.55
nodule,64.727,88,108.364,115.455,113.091,107.636,101.455,96.364,87.091,27.634,35.725,40.305,46.489,44.504,45.496,48.168,44.656,34.7,141.09
nodule,46,60.5,82.833,95.167,101.833,104.667,99.917,72.833,41.25,22.969,28.438,35.156,45.938,52.578,56.484,61.406,54.531,32.188,146.67
nodule,49.167,90.5,105.5,119.333,125.333,116,101.167,86.167,66.333,25.625,40,51.484,59.844,65.391,67.891,66.172,58.359,43.516,177.17
nodule,80,111.667,131.667,139.333,148.167,142.167,134.583,120.667,92.333,27.464,32.101,40.29,52.754,56.522,59.493,58.913,55.652,42.101,175.67
nodule,52.8,79.52,100.48,116.32,120.24,110.88,103.04,92.8,74.08,22.37,38.222,48.815,64.37,72.741,70.815,67.778,60.889,47.185,184.8
nodule,59.68,76.4,103.68,119.52,119.04,124.96,118.24,117.04,33.6,43.191,46.879,47.163,53.191,63.404,71.631,66.809,60.142,41.56,168.8
nodule,86.08,101.04,104.96,91.2,83.52,91.52,109.92,115.2,108.16,25.63,39.704,51.259,59.259,70.815,79.111,82.815,86.37,77.481,187.36
nodule,54.56,68.32,76.16,80.32,86.88,81.28,78.48,73.76,56.8,22.348,41.439,53.561,54.242,56.136,50.606,41.515,36.364,25.152,133.6
nodule,74,94.333,107.5,111,110.167,107.667,106,85.833,51.5,47.153,54.015,61.168,55.474,58.394,52.993,50.876,46.423,36.423,157
nodule,50.56,57.6,77.6,90.24,102.24,99.84,91.84,85.76,59.36,31.879,49.167,57.348,65.379,75.303,73.258,65.455,50.909,41.97,148
nodule,118,125,120,112.083,113.667,117,109,106.333,82.083,44.752,53.475,60.142,63.404,64.326,70.142,69.149,58.865,45.957,168
nodule,75.048,86.762,94.095,105.143,108.762,116.476,111.619,97.905,74.476,13.86,23.158,37.193,44.912,45.965,41.754,36.316,36.316,29.211,174.86
nodule,96.364,135.818,158.182,150.818,141.273,123.273,110,104,63.636,38.425,52.598,57.953,57.008,60.315,63.386,60.787,55.118,50.709,167.27
nodule,75.429,94.667,106.095,117.524,124.762,129.905,131.81,124.19,105.714,19.915,37.034,58.898,69.153,66.949,59.068,42.373,39.831,41.356,140
nodule,48.909,74.909,99.636,101.091,113.091,111.636,107.091,96.182,50,50.923,52.077,54.846,55.077,48.308,42,30.462,27.077,18.615,182.18
nodule,117.636,130.636,130.182,123.273,110.545,91.818,91.455,86.636,84.909,43.125,52.188,59.609,56.719,53.438,51.719,55,51.094,43.984,119.45
nodule,67.455,96.727,104.727,104.818,121.636,127.273,126.182,106.545,78.364,24.127,37.46,44.921,47.302,44.444,46.19,42.222,32.143,22.937,198.18
nodule,61.273,94.727,101.091,106.545,110.182,109.455,104.909,95.636,78.545,66.583,64.167,66.667,68.333,68.167,69.167,65.833,55.583,37.333,176.36
nodule,75.091,96.545,132.909,128.909,121.636,113.364,110.545,93.818,59.091,27.634,35.42,42.061,45.954,40.763,36.489,34.198,30.076,21.832,179.45
nodule,113.091,137.636,143.091,152.182,144,127.818,98.545,74.545,53.455,25.606,46.894,55.909,56.288,48.561,37.955,34.697,31.742,27.121,177.27
