assessment,knapper,width_0.1,width_0.2,width_0.3,width_0.4,width_0.5,width_0.6,width_0.7,width_0.8,width_0.9,thickness_0.1,thickness_0.2,thickness_0.3,thickness_0.4,thickness_0.5,thickness_0.6,thickness_0.7,thickness_0.8,thickness_0.9,max_length
1,1,61.2521,68.30314,75.7936,74.69124,76.60132,73.7362,67.53098,59.63666,38.70452,29.042,41.895,49.484,53.187,51.014,48.26,43.058,41.436,26.869,113.4618
2,1,76.94422,98.37928,131.1021,128.60528,121.32056,110.44936,108.15828,102.43566,86.56828,44.907,48.663,48.489,51.022,44.994,44.907,41.324,39.665,36.388,124.3838
5,1,27.7622,38.63086,44.2849,54.16296,63.89624,68.707,68.74256,67.23634,57.32272,16.226,25.008,34.761,43.543,46.308,39.927,34.427,27.59,17.138,103.9114
6,1,34.07664,48.50892,60.11418,69.73316,74.36104,71.27748,68.19138,58.2041,46.12132,13.004,20.721,26.676,29.927,31.447,28.834,28.287,22.149,12.791,102.489
7,1,38.33622,53.72354,61.47054,65.43802,68.08216,68.81622,72.01154,66.13652,42.85488,15.709,24.661,32.23,42.503,44.545,44.966,43.284,36.105,24.54,99.6696
8,1,33.96742,54.56936,67.6402,74.54392,79.8322,77.66558,73.22312,61.39942,57.06618,37.909,54.635,61.097,63.282,65.047,59.123,56.609,52.6,42.756,131.2672
9,1,31.24962,46.63694,57.24906,64.15278,71.31304,70.0278,69.14642,65.69456,58.97372,15.224,25.877,32.081,37.469,39.648,39.95,36.772,30.901,22.094,130.2766
1,10,20.85848,39.32936,49.09566,60.44438,70.10146,86.37016,88.16848,84.38642,56.8452,14.335,23.272,40.77,47.821,48.082,48.227,45.528,36.243,23.185,132.3086
2,10,42.56024,54.23662,58.35142,66.46672,69.14642,75.82916,77.66558,66.87058,51.04384,12.256,19.75,24.919,27.156,31.832,32.529,31.193,23.758,15.103,144.7292
3,10,40.68826,56.8452,77.63002,85.70722,91.6559,92.6846,93.41866,83.13674,61.98616,16.236,24.6,42.019,43.23,38.645,36.107,29.733,22.87,15.631,149.3012
4,10,18.87474,30.22092,44.9834,53.83276,62.9031,69.29374,72.59828,66.42862,53.02504,7.91,14.372,22.514,24.223,25.672,27.874,25.151,18.805,11.445,102.9208
5,10,20.41652,30.48,39.2557,43.36796,47.95774,48.3997,48.32604,42.74312,34.29762,7.065,11.006,14.655,18.975,20.844,22.712,23.121,16.465,10.393,77.6986
9,10,17.99336,33.71088,49.20742,67.3481,74.98588,83.28406,83.79968,79.8322,64.6303,8.318,15.047,21.199,25.676,33.329,33.329,31.308,28.015,19.351,122.5042
1,11,49.28108,57.57926,62.64656,74.69124,81.44764,81.5594,72.92848,50.60188,26.22042,12.705,23.277,35.434,35.089,37.307,34.743,30.249,30.537,37.221,105.3846
2,11,15.67942,20.85848,27.32024,35.76574,45.75556,54.93512,65.25514,76.454,49.94148,9.224,15.363,22.296,26.389,30.085,35.735,40.836,45.478,33.719,128.1684
3,11,24.64054,33.34258,41.05402,45.53458,50.85842,57.13984,58.82894,63.71082,61.43498,14.722,21.074,25.992,28.16,29.199,34.147,36.712,41.477,31.245,142.4178
4,11,26.29154,41.42232,47.95774,48.50892,51.48326,53.28412,54.42204,55.08244,53.02504,18.121,26.236,31.178,36.974,41.001,37.95,32.276,28.859,20.622,130.81
5,11,17.73682,30.00248,34.11474,41.16578,50.0888,56.1467,52.7685,46.96714,36.24326,9.655,17.049,21.632,25.42,31.836,34.158,27.62,24.045,16.193,111.6076
