Core.Number,Start_Weight,experiment
1,1283,handaxe_main
2,623,handaxe_main
3,1122,handaxe_main
4,1404,handaxe_main
5,1110,handaxe_main
6,692,handaxe_main
7,1068,handaxe_main
8,927,handaxe_main
9,732,handaxe_main
10,2050,handaxe_main
11,2183,handaxe_main
12,2585,handaxe_main
13,1869,handaxe_main
14,1977,handaxe_main
15,1660,handaxe_main
16,1452,handaxe_main
17,2403,handaxe_main
18,1167,handaxe_main
19,1116,handaxe_main
20,1253,handaxe_main
21,1629,handaxe_main
22,1105,handaxe_main
23,1241,handaxe_main
24,1332,handaxe_main
25,1059,handaxe_main
26,898,handaxe_main
27,975,handaxe_main
28,1325,handaxe_main
29,966,handaxe_main
30,1526,handaxe_main
31,1697,handaxe_main
32,807,handaxe_main
33,888,handaxe_main
34,744,handaxe_main
35,821,handaxe_main
36,1686,handaxe_main
37,1725,handaxe_main
38,990,handaxe_main
39,555,handaxe_main
40,620,handaxe_main
41,1210,handaxe_main
42,607,handaxe_main
43,1526,handaxe_main
44,1284,handaxe_main
45,1051,handaxe_main
46,722,handaxe_main
47,2310,handaxe_main
48,1075,handaxe_main
49,1221,handaxe_main
50,1097,handaxe_main
51,993,handaxe_main
52,2299,handaxe_main
53,2384,handaxe_main
54,835,handaxe_main
55,2331,handaxe_main
56,1685,handaxe_main
57,2993,handaxe_main
58,2690,handaxe_main
59,1417,handaxe_main
60,981,handaxe_main
62,1142,handaxe_main
63,1623,handaxe_main
64,1900,handaxe_main
65,1241,handaxe_main
66,2312,handaxe_main
67,1386,handaxe_main
68,1802,handaxe_main
70,1882,handaxe_main
71,2287,handaxe_main
72,997,handaxe_main
73,1892,handaxe_main
74,2341,handaxe_main
75,1137,handaxe_main
76,1526,handaxe_main
77,1308,handaxe_main
78,2321,handaxe_main
79,861,handaxe_main
80,1867,handaxe_main
81,1692,handaxe_main
82,1095,handaxe_main
83,2457,handaxe_main
84,1213,handaxe_main
85,1049,handaxe_main
86,2171,handaxe_main
87,1290,handaxe_main
88,1916,handaxe_main
89,1472,handaxe_main
90,1919,handaxe_main
91,2202,handaxe_main
92,1307,handaxe_main
93,1458,handaxe_main
94,1097,handaxe_main
95,1421,handaxe_main
96,930,handaxe_main
97,1723,handaxe_main
98,1710,handaxe_main
99,1092,handaxe_main
100,996,handaxe_main
101,1251,handaxe_main
102,977,handaxe_main
103,1621,handaxe_main
104,1986,handaxe_main
105,1344,handaxe_control
106,1170,handaxe_main
107,2594,handaxe_main
108,953,handaxe_main
109,1697,handaxe_main
110,1790,handaxe_main
111,1069,handaxe_main
112,2129,handaxe_main
113,1016,handaxe_control
114,1670,handaxe_control
115,2056,handaxe_control
116,1884,handaxe_main
118,995,handaxe_main
119,3064,handaxe_main
120,1078,handaxe_main
121,1991,handaxe_main
122,2028,handaxe_main
123,1574,handaxe_main
124,1277,handaxe_control
125,1723,handaxe_control
126,1564,handaxe_main
127,1545,handaxe_main
128,1566,handaxe_main
129,2241,handaxe_control
130,1528,handaxe_main
131,2004,handaxe_main
132,1500,handaxe_control
133,1717,handaxe_main
134,1955,handaxe_main
135,1613,handaxe_main
136,3321,handaxe_main
137,1610,handaxe_main
138,2396,handaxe_main
139,1512,handaxe_main
140,1211,handaxe_main
141,1563,handaxe_main
142,1293,handaxe_main
143,1800,handaxe_control
144,1695,handaxe_control
145,1424,handaxe_main
146,2478,handaxe_control
147,1640,handaxe_control
149,904,handaxe_main
150,1048,handaxe_control
