"","Dim.1","Dim.2"
"width_0.1",-0.113131204925361,-0.125640845784765
"width_0.2",-0.141955447367301,-0.132694560492031
"width_0.3",-0.168417000124914,-0.123232840650765
"width_0.4",-0.186722646442786,-0.0966578446841451
"width_0.5",-0.203748271078199,-0.0651504884891807
"width_0.6",-0.212133001642939,-0.0197135576565232
"width_0.7",-0.208316267749637,0.023279000354529
"width_0.8",-0.188582094438395,0.0661257300632331
"width_0.9",-0.14473193003485,0.0805701705572182
"thickness_0.1",0.0142638776942993,-0.0240388358108081
"thickness_0.2",0.0247137181282107,-0.0227114395167051
"thickness_0.3",0.0435524170320233,-0.00935798515811859
"thickness_0.4",0.06679358269862,0.00476434722683124
"thickness_0.5",0.0893522998044965,0.0261202257567949
"thickness_0.6",0.10831124409701,0.048485160303197
"thickness_0.7",0.128834606811617,0.0628566741704479
"thickness_0.8",0.14440466042257,0.0659256630583252
"thickness_0.9",0.130894900815162,0.0487419360353184
"max_length",-0.362626511545804,0.250723446736953
